11/1961,-----,-----,-----,-----,-----,-----
12/1961,-----,-----,-----,-----,-----,-----
-----,Auto Makers Plan Anti-Smog Devices On All '63 Models; CAR MAKERS PLAN ANTI-SMOG DEVICE,Mfrs Assn dirs recommend member cos install crankcase ventilation (blow-by) systems on all '63-model cars and trucks; Sec Ribicoff hails action,"['US', 'Air Pollution']",https://www.nytimes.com/1961/12/07/archives/auto-makers-plan-antismog-devices-on-all-63-models-car-makers-plan.html,1961-12-07,05:00:00+0000
-----,World's Scientists Press Drive to Translate Data; TRANSLATION AIDS IN SCIENCE PUSHED,efforts to broaden and speed trs of foreign scientific pubs discussed; use of computers to make trs noted; sample,"['United States', 'NEW YORK TIMES', 'SURVEYS AND SERIES OF ARTICLES', 'SCIENCE', 'Science and Technology', 'GENERAL', 'Science and Technology']",https://www.nytimes.com/1961/12/26/archives/worlds-scientists-press-drive-to-translate-data-translation-aids-in.html,1961-12-26,05:00:00+0000
-----,CATHOLICS AFFIRM SCHOOL-AID STAND; Reject Kennedy's View That Constitution Limits Help to Parochial Classes CATHOLICS AFFIRM SCHOOL-AID STAND,"Natl Cath Welfare Conf legal dept issues memo holding Const permits aid to ch-related schools on much broader scale than Adm is willing to concede; holds Govt may help all pub service aspects of an educ enterprise; memo authorized by conf adm bd, prepared by W B Ball under supervision of W R Consedine","['United States', 'Education and Schools', 'GENERAL']",https://www.nytimes.com/1961/12/15/archives/catholics-affirm-schoolaid-stand-reject-kennedys-view-that.html,1961-12-15,05:00:00+0000
-----,U.N. FORCES BEGIN DRIVE TO CONTROL KATANGA CAPITAL; Troops Push Almost to City Center -- 28 Are Reported Dead and Many Hurt ADVANCE MADE RAPIDLY Another Battle Said to Be Under Way in the North -- Hospitals Are Crowded U.N. FORCES BEGIN DRIVE IN KATANGA,UN begins major drive for control of Elisabethville; fighting detailed; casualties mostly civilians; Katanga charges UN aids Congo Govt troops in Kongola battle; G Olivet (IRC) missing; visited UN lines; IRC repr says UN troops fire on ambulance; France bars flights of UN supply planes over French territory; US sources say West unites to seek Tshombe-Adoula conf,"['CONGO, REPUBLIC OF (FORMERLY BELGIAN CONGO)']",https://www.nytimes.com/1961/12/16/archives/un-forces-begin-drive-to-control-katanga-capital-troops-push-almost.html,1961-12-16,05:00:00+0000
-----,Hoover Assails U.S. For Katanga Policy; HOOVER ASSAILS U.S. ON KATANGA,"H Hoover scores US support of UN in Katanga; backs Dodd; welcomes Kennedy moves; his rejection of inv to be sponsor of Katanga Freedom Fighters Com noted; Eisenhower earlier statement lauding Kennedy noted; US Under Sec Ball defends UN policy, s, Los Angeles; Rusk backs s, Sen com; illus; says Adm welcomes full probe of US policy, comment on Dodd statement; Cong criticism of US support for UN detailed","['CONGO, REPUBLIC OF (FORMERLY BELGIAN CONGO)']",https://www.nytimes.com/1961/12/21/archives/hoover-assails-us-for-katanga-policy-hoover-assails-us-on-katanga.html,1961-12-21,05:00:00+0000
-----,KEFAUVER OFFERS DRUG COMPROMISE; Hints at Easing Patent Curb -- Urges Industry to Draft Own Price-Relief Plan Kefauver Suggests Compromise In Fight Over Drug Patent Curbs,"Kefauver lauds indus acceptance of more Govt supervision; hails Mfrs Assn agreement not to mkt new drugs without proof they act as advertised; asks Assn propose way to control unreasonable prices; subcom offers chart showing vast difference in wholesale cost of patented and non-patented drugs; Sen Hruska and Assn repr attack accuracy; Irwin, Neisler & Co repr scores patent proposal",['DRUGS AND DRUG TRADE'],https://www.nytimes.com/1961/12/10/archives/kefauver-offers-drug-compromise-hints-at-easing-patent-curb-urges.html,1961-12-10,05:00:00+0000
-----,BUNCHE DENIES U.S. MEDDLED IN CONGO; Rejects Soviet Charge That Washington Guided U.N. in Kitona Peace Effort BUNCHE REJECTS CHARGE BY SOVIET,"Zorin attacks US role, charges Bunche was told to take orders from Gullion, Bunche denial, news confs, NYC; Bunche says Tshombe signed voluntarily and without reservation; says UN team exerted no pressure; Thant displays original text of pact","['CONGO, REPUBLIC OF (FORMERLY BELGIAN CONGO)']",https://www.nytimes.com/1961/12/23/archives/bunche-denies-us-meddled-in-congo-rejects-soviet-charge-that.html,1961-12-23,05:00:00+0000
-----,"CON EDISON STRIKE IS VOTED BY UNION; But Referendum Is Ordered, Delaying Any Walkout CON EDISON STRIKE IS VOTED BY UNION","Utility Workers Local 1-2 rejects proposed contract, votes to strike Consol Edison; union pres orders work continue pending vote by all local members; Wagner sets probe","['NYC', 'PUBLIC UTILITIES']",https://www.nytimes.com/1961/12/02/archives/con-edison-strike-is-voted-by-union-but-referendum-is-ordered.html,1961-12-02,05:00:00+0000
-----,"8 Denounce Mayor For 'Salary Grab,' Then He Signs Bill; 8 Denounce City 'Salary Grab,' Then Mayor Signs Increases",sworn in; illus,"['New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'New York City', 'CITY COUNCIL', 'ESTIMATE, BOARD OF', 'COMERFORD, JAMES J.', 'WAGNER, ROBERT FERDINAND', 'WAGNER, ROBERT FERDINAND', 'GOMEZ, MANUEL A.', 'KROSS, ANNA M.', 'IMPELLITTERI, VINCENT R.', 'BENLINE, ARTHUR J.', 'ROTH, ABRAHAM M.', ""O'BRIEN, JOHN J."", 'PORS AND ILLUS', 'MAYOR', 'EMPLOYES AND OFFICIALS', 'DEPARTMENTS AND AGENCIES', 'BOROUGHS', 'DEPARTMENTS AND AGENCIES']",https://www.nytimes.com/1961/12/30/archives/8-denounce-mayor-for-salary-grab-then-he-signs-bill-8-denounce-city.html,1961-12-30,05:00:00+0000
-----,U.N. JETS ATTACK KATANGA TROOPS IN ELISABETHVILLE; Air Assault on Post Office Scatters Forces Gathering for Drive in Capital RADIO STATION STRAFED Bombers Sweep Over Police Camp and University -- Cross-Fire Heavy in City U.N. JETS ATTACK KATANGA TROOPS U.N. and Katangese Forces Clash in Elisabethville,wk revd; UN troops illus,"['CONGO, REPUBLIC OF (FORMERLY BELGIAN CONGO)', 'CONGO, REPUBLIC OF (FORMERLY BELGIAN CONGO)']",https://www.nytimes.com/1961/12/10/archives/un-jets-attack-katanga-troops-in-elisabethville-air-assault-on-post.html,1961-12-10,05:00:00+0000
1/1962,-----,-----,-----,-----,-----,-----
2/1962,-----,-----,-----,-----,-----,-----
3/1962,-----,-----,-----,-----,-----,-----
4/1962,-----,-----,-----,-----,-----,-----
5/1962,-----,-----,-----,-----,-----,-----
6/1962,-----,-----,-----,-----,-----,-----
7/1962,-----,-----,-----,-----,-----,-----
8/1962,-----,-----,-----,-----,-----,-----
9/1962,-----,-----,-----,-----,-----,-----
10/1962,-----,-----,-----,-----,-----,-----
-----,Spellman Unhurt as Bomb Damages Residence Here; CARDINAL'S HOME STRUCK BY BOMB,"St Patrick's Cathedral, Manhattan: small bomb thrown outside Cardinal Spellman residence at 1:45 AM shatters windows but causes no injury; details",['ROMAN CATHOLIC CHURCHES'],https://www.nytimes.com/1962/10/06/archives/spellman-unhurt-as-bomb-damages-residence-here-cardinals-home.html,1962-10-06,05:00:00+0000
-----,COUNCIL VOTE 19-0; Latins Act Quickly on Plea by Rusk--Use of Force Endorsed American Republics Endorse the Use of Force in Applying Cuban Quarantine O.A.S. VOTES 19-0 TO BACK U.S. PLAN Display of Hemisphere Unity Is Greatest Since 1945-- Key Victory for Rusk,OAS Council votes unanimously to back US action; Uruguay abstains but apparently only because instructions to its repr are delayed; several nations offer mil aid,"['Cuba', 'Cuba', 'RUSK, DEAN', '1ST O 22 PAR', '8TH O 23 PAR']",https://www.nytimes.com/1962/10/24/archives/council-vote-190-latins-act-quickly-on-plea-by-ruskuse-of-force.html,1962-10-24,05:00:00+0000
-----,KHRUSHCHEV VISIT TO U.N. NEXT MONTH NOW HELD LIKELY; Kennedy Reported Ready to Meet Premier if Reds Avoid Berlin Incidents PRESIDENT SEES BRANDT House Unanimously Adopts Resolution to Defend U.S. Rights in City by Force KHRUSHCHEV VISIT NOW HELD LIKELY,HR unanimously approves 'fight-if-necessary' resolution; Brandt and Kennedy conf on crisis,"['Germany', 'BERLIN', 'United Nations', 'ASSEMBLY', 'International Relations', 'EAST-WEST RELATIONS (GEN)', 'MISCELLANEOUS SECTION']",https://www.nytimes.com/1962/10/06/archives/khrushchev-visit-to-un-next-month-now-held-likely-kennedy-reported.html,1962-10-06,05:00:00+0000
-----,Bidwell's Tax Trial Ends in Hung Jury; BIDWELL TAX CASE ENDS IN DEADLOCK,"Jury deadlocked, mistrial declared; his por","['BIDWELL, J TRUMAN']",https://www.nytimes.com/1962/10/02/archives/bidwells-tax-trial-ends-in-hung-jury-bidwell-tax-case-ends-in.html,1962-10-02,05:00:00+0000
-----,BIG FORCE MASSES TO BLOCKADE CUBA; Armada Is Under Orders to Open Fire if Necessary-- All Troops Are Alerted U.S. Assembled Massive Military Force in the Carribbean to Impose the Blockade MORE NAVAL UNITS JOIN PATROL SHIPS Pentagon Confident It Can Carry Out Order--Families to Leave Base in Cuba,"US Defense Dept repts dependents of Guantanamo base troops evacuated, forces there doubled","['Cuba', 'Cuba', 'Cuba', 'Cuba', '6TH O 23 PAR', '2D O 22 PAR', '1ST O 22 PAR', '5TH O 23 PAR']",https://www.nytimes.com/1962/10/23/archives/big-force-masses-to-blockade-cuba-armada-is-under-orders-to-open.html,1962-10-23,05:00:00+0000
-----,Watchman Service Blacklisted by State; STATE BLACKLISTS WATCHMAN OUTFIT Grand Jury Investigating War of Competition,"NYS Pub Works Dept, acting as result of grand jury probe of Sentinal Investigation Service, bars it from supplying guards to NYS construction work and holds up $200,000 in payments to co; orders all contractors to end subcontracting of watchmen services at construction sites and hire own watchmen","['PUBLIC WORKS', 'PUBLIC WORKS']",https://www.nytimes.com/1962/10/12/archives/watchman-service-blacklisted-by-state-state-blacklists-watchman.html,1962-10-12,05:00:00+0000
-----,"SCHIRRA ORBITS EARTH SIX TIMES, LANDING NEAR CARRIER IN PACIFIC AFTER ALMOST FLAWLESS FLIGHT; A LONGER TRIP DUE Feat Prompts Space Agency to Schedule 17-Circuit Mission Schirra Orbits Earth 6 Times and Lands Near Carrier in Pacific; Flight Goes Smoothly WAY NOW CLEARED FOR 17 CIRCUITS Space Agency Announces a 24-Hour Mission for Sometime in Winter","orbits earth 6 times, lands safely in Pacific Ocean and is picked up by carrier Kearsarge in Mercury capsule","['SCHIRRA WALTER M JR.', 'ASTRONAUTICS', ""US MANNED ORBITAL FLIGHT III (OCT 3 '62)"", 'ASTRONAUTICS', 'US PROJECTS (GENERAL)', 'TELEVISION AND RADIO', 'GENERAL']",https://www.nytimes.com/1962/10/04/archives/schirra-orbits-earth-six-times-landing-near-carrier-in-pacific.html,1962-10-04,05:00:00+0000
-----,2d U.S. Embassy Aide Expelled By Soviet on Espionage Charges; 2d U.S. Embassy Aide Expelled By Soviet on Espionage Charges Naval Officer Expelled,embassy 1st Sec Midthun expelled on spy charges; further retaliation seen,"['UNION OF SOVIET SOCIALIST REPUBLICS', 'United States', 'United States', 'FOREIGN SERVICE', 'Espionage', 'INTERNAL SECURITY']",https://www.nytimes.com/1962/10/13/archives/2d-us-embassy-aide-expelled-by-soviet-on-espionage-charges-2d-us.html,1962-10-13,05:00:00+0000
-----,"ADENAUER RESISTS U.S. OVER BERLIN; He Says Soviet Must End Its Hard Policy Before Bonn Will Offer 'Initiatives"" ADENAUER IS COOL TO U.S. ON BERLIN","Adenauer says W Ger will offer no new initiatives on Berlin issue so long as USSR pursues hard policy against reunification and self-determination, s, Bundestag","['Germany', 'BERLIN', 'Germany', 'MISCELLANEOUS SECTION', 'Politics and Government', 'GENERAL']",https://www.nytimes.com/1962/10/10/archives/adenauer-resists-us-over-berlin-he-says-soviet-must-end-its-hard.html,1962-10-10,05:00:00+0000
-----,"PRESIDENT SIGNS TAX REVISION BILL; He Predicts Law Will Spur Economy, but Pledges to Seek Over-All Reform PRESIDENT SIGNS TAX REVISION ACT",tax revision bill signed; Kennedy sees spur to econ but pledges to seek 'over-all' reform,"['United States', 'Taxation', 'FEDERAL']",https://www.nytimes.com/1962/10/17/archives/president-signs-tax-revision-bill-he-predicts-law-will-spur-economy.html,1962-10-17,05:00:00+0000
11/1962,-----,-----,-----,-----,-----,-----
-----,India Maps Army Build-Up; INDIA SAID TO CUT PAKISTAN GUARD,hon at civic reception,"['India', 'India', 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'FOREIGN RELATIONS AND SERVICE']",https://www.nytimes.com/1962/11/28/archives/india-maps-army-buildup-india-said-to-cut-pakistan-guard.html,1962-11-28,05:00:00+0000
-----,OFFICIALS HOPEFUL ON HOUSING ORDER; SOUTH IS CRITICAL; Talmadge Warns of Peril to Economy in Curbing of Racial Discrimination WIDE EFFECT DOUBTED Supporters Note Limitations in Scope of Regulation but Voice Satisfaction Resistance Expected CAPITAL HOPEFUL ON HOUSING ORDER Enforcement Stressed Expense Is a Factor Effect on States Weighed ,"WASHINGTON, Nov. 21 --The new Federal order  against discrimination in housing went into effect today with the Administration confident that it would have tangible but not revolutionary effect, and with its critics crying disaster.  ",[],https://www.nytimes.com/1962/11/22/archives/officials-hopeful-on-housing-order-south-is-critical-talmadge-warns.html,1962-11-22,05:00:00+0000
-----,Capehart Unseated As Bayh of Indiana Corfounds Experts; Experts Are Shocked BAYH OF INDIANA UPSETS CAPEHART,Elected Sen,"['Indiana', 'BAYH, BIRCH EVAN JR.']",https://www.nytimes.com/1962/11/08/archives/capehart-unseated-as-bayh-of-indiana-corfounds-experts-experts-are.html,1962-11-08,05:00:00+0000
-----,Sharp Change Due In French Politics; SHARP SHIFT DUE IN FRENCH PARTIES Interpretation a Factor ,"PARIS, Nov. 26--The Gaullist victory in France's legislative elections presages a profound and drastic revolution in French political life.  ",[],https://www.nytimes.com/1962/11/27/archives/sharp-change-due-in-french-politics-sharp-shift-due-in-french.html,1962-11-27,05:00:00+0000
-----,U.S. SAYS SOVIET FAIL TO REMOVE BOMBERS IN CUBA; McCloy Is Reported to Have Told Russian of Serious Concern in Washington PHOTOS SHOW PLANES Kennedy Said to Be Getting Promises Moscow Backs Missile-Site Inspection,McCloy and Stevenson reptdly protest to Kuznetsov against USSR failure to remove jet bombers from Cuba; Thant poll finds Security Council members want to defer Council meeting pending more detailed US-USSR-Cuban accord; US sees no need to get Cuban approval for IRC inspection at sea of Cuba-bound ships,"['Cuba', 'Cuba', '1ST N 1 PAR', '1ST N 1 PAR']",https://www.nytimes.com/1962/11/06/archives/us-says-soviet-fail-to-remove-bombers-in-cuba-mccloy-is-reported-to.html,1962-11-06,05:00:00+0000
-----,U.S. NOW TO TURN PRESSURE ON CUBA; Sees Concession to Soviet Necessary While Castro Is Held in Check End of Blockade Seen U.S. NOW TO TURN PRESSURE ON CUBA Letters Exchanged,"US and USSR reptd split over IRC plans to handle at-sea inspection; Thant efforts to arrange procedures discussed; Kennedy seen ready, if USSR withdraws bombers, to acknowledge its good faith in removing offensive weapons and to turn to dealing with Cuba to restrain Castro; secret exch of lrs between Kennedy and Khrushchev reptdly continues; speculation","['Cuba', '1ST N 1 PAR']",https://www.nytimes.com/1962/11/11/archives/us-now-to-turn-pressure-on-cuba-sees-concession-to-soviet-necessary.html,1962-11-11,05:00:00+0000
-----,"LEVITT'S MARGIN EXCEEDS 800,000; Controller Is the Winner in 12 Counties Outside City LEVITT'S MARGIN EXCEEDS 800,000 Victory Claimed at 11:30 Campaign Was Independent Backed Governor","State Controller Arthur Levitt scored a spectacular victory last night, winning re-election to a third term as what he called ""the people's auditor, the watchdog of the treasury.""","['New York State', 'New York State', 'New York State', 'New York State', 'LEVITT, ARTHUR', 'LOMENZO, JOHN P.', 'DEPARTMENTS AND AGENCIES', 'AUDIT AND CONTROL', 'Elections', 'CONTROLLER', 'Elections', 'GENERAL', 'MISCELLANEOUS SECTION', 'Elections', 'CONTROLLER']",https://www.nytimes.com/1962/11/07/archives/levitts-margin-exceeds-800000-controller-is-the-winner-in-12.html,1962-11-07,05:00:00+0000
-----,Mrs. Roosevelt Dies at 78 After Illness of Six Weeks; Mrs. Roosevelt Dies Here at 78 After an Illness of Six Weeks Family With Her Physicians Accede Autopsy Scheduled,orders flags flown at half staff,"['United States', 'United States', 'Roosevelt, Franklin Delano', 'Roosevelt, Franklin Delano', 'ROOSEVELT, ELLIOTT', 'ROOSEVELT, JOHN A.', 'TRUMAN, HARRY S.', 'ROOSEVELT, FRANKLIN D', 'WAGNER, ROBERT FERDINAND', 'PRESIDENTS', 'Flags, Emblems and Insignia', 'DEATHS']",https://www.nytimes.com/1962/11/08/archives/mrs-roosevelt-dies-at-78-after-illness-of-six-weeks-mrs-roosevelt.html,1962-11-08,05:00:00+0000
-----,INDIA SAID TO CUT FORCES GUARDING PAKISTAN BORDER; Troops Are Reported Moved North to Bolster Region Threatened by China,India reptdly shifts at least half of troops to Chinese border regions,"['India', 'India', 'KASHMIR AND JAMMU', 'CHINA BORDER DISPUTE']",https://www.nytimes.com/1962/11/28/archives/india-said-to-cut-forces-guarding-pakistan-border-troops-are.html,1962-11-28,05:00:00+0000
-----,"Meany and Reuther Agree On Plan to Prevent Clash; Induced by A.F.L.-C.I.O. Peacemakers to Work Out Their Own Solution in Dispute Over Appointment MEANY, REUTHER RESOLVE DISPUTE","AFL-CIO com, Los Angeles, maps plan to decide which unions should organize what plants in city","['United States', 'AMERICAN FEDERATION OF LABOR AND CONGRESS OF INDUSTRIAL ORGANIZATIONS', 'LABOR']",https://www.nytimes.com/1962/11/13/archives/meany-and-reuther-agree-on-plan-to-prevent-clash-induced-by-aflcio.html,1962-11-13,05:00:00+0000
