,points
DEM PARTY - ISSUE OF JOHNSON'S SECURITY - JOHNSON CONTINUES TO WIN SUPPORT OF NORMALLY REPUB PRESS,6128
AMERICAN AIRLINES INC.,6128
"EDUCATION, BOARD OF",6125
AMERICAN BROADCASTING COS INC,5643
REPUB PARTY - ROCKEFELLER WINS ORE PRIMARY - CALIF PRIMARY CAMPAIGN - STOP-GOLDWATER DRIVE - EISENHOWER STATEMENT ON CANDIDATE'S QUALIFICATIONS AND ITS INTERPRETATION AS ANTI-GOFDWATER MOVE,5639
AMERICAN TELEPHONE & TELEGRAPH CO,5636
"ECONOMIC COOPERATION AND DEVELOPMENT, ORGANIZATION FOR",5631
Food and Drug Administration,5631
National Guard,5631
REPUB PARTY - PARTY SPLIT CONTINUES,5629
TAMMANY,5622
Joint Chiefs of Staff,5622
DEM PARTY - PLEDGES OF SUPPORT,5615
International Monetary Fund,5611
"UNITED STATES, CHAMBER OF COMMERCE OF THE",5611
Peace Corps,5607
EXPORT-IMPORT BANK,5603
SURROGATES COURT,5580
VIETCONG ORGANIZATION,5576
"ECONOMIC ADVISERS, COUNCIL OF",5576
NEW YORK UNIV.,5120
Hunter College,5119
"MEDICAL ASSN, AMERICAN",5119
"GOVERNORS ASSN, REPUBLICAN",5116
AMERICAN TELEPHONE & TELEGRAPH CO INC,5113
DOMESTIC SERVICE,5107
PASSENGER SERVICE,5107
REPUB PARTY - GOLDWATER-MILLER CAMPAIGN FORMALLY BEGINS - GOLDWATER SUPPORT IN SOUTH GROWS,5104
UNITED STATES NAVY DEPARTMENT,5103
"BANKERS ASSN, AMERICAN",5101
ECONOMIC CLUB OF NY,5096
"NEW YORK CITY, TEMPORARY STATE COMMISSION TO INVESTIGATE GOVERNMENT OPERATIONS OF",5096
REPUB PARTY - PARTY SUFFERS CRUSHING DEFEAT IN ELECTIONS - FIGHT BEGINS TO WREST PARTY CONTROL FROM GOLDWATER FACTION,5093
"EDUCATION, OFFICE OF",5066
"STOCK EXCHANGE, AMERICAN",4617
CURTIS PUBLISHING CO.,4614
MORMONS,4612
NATL GUARD,4611
Chase Manhattan Bank,4608
PENNSYLVANIA NEW YORK CENTRAL TRANSPORTATION CO,4600
REPUB PARTY - ROCKEFELLER WITHDRAWS IN FAVOR OF SCRANTON - AMB LODGE RESIGNS TO SUPPORT SCRANTON - GOLDWATER GAINS DELEGATES,4600
APPEALS COURT,4598
AMERICAN LEGION,4595
"CIVIC CENTER, MANHATTAN",4594
ECONOMIC AND SOCIAL COUNCIL,4586
FOOD AND GROCERY TRADE,4585
"INDIAN AFFAIRS, BUREAU OF",4580
"INFORMATION AGENCY, US",4572
EISENHOWER ADM,4569
"BUDGET, BUREAU OF THE",4561
ALLIED CRUDE VEGETABLE OIL REFINING CORP.,4103
GENERAL ANILINE & FILM CORP.,4099
REPUB PARTY - GOV ROCKEFELLER CANDIDACY - NH PRIMARY CAMPAIGN - SEN GOLDWATER ANNOUNCES CANDIDACY,4098
Standard Oil Co,4098
"RACIAL EQUALITY, CONGRESS OF",4096
FORDHAM UNIV.,4095
COMMUNIST PARTY,4094
PRINCETON UNIV.,4094
"Kennedy, John F, Center for the Performing Arts",4092
CONSOLIDATED EDISON CO OF NY INC.,4092
DEM PARTY - JOHNSON-HUMPHREY CAMPAIGN FORMALLY BEGINS - MANY NORMALLY REPUB BUSINESS LEADERS AND NEWSPAPERS BACK TICKET,4087
Economic Club of Detroit,4085
JOHNSON ADM - JOHNSON INAUGURAL,4084
"KENNEDY, PRESIDENT JOHN F, MEMORIAL LIBRARY",4083
"URBAN DEVELOPMENT AND HOUSING, DEPARTMENT OF",4083
"REPUB PARTY - CALIF, OREGON AND OTHER PRIMARY CAMPAIGNS",4082
"RHODESIA AND NYASALAND, FEDERATION OF",4080
DEATHS,4077
"TRADE COMMISSION, FEDERAL",4076
B'Nai B'Rith,4075
"JOHNSON ADM - JOHNSON NOMINATED FOR PRES, SEN HUMPHREY FOR VICE PRES",4075
"POWER COMMISSION, FEDERAL",4074
HRA,4073
Social Services Department,4066
"PRESIDENT, EXECUTIVE OFFICE OF THE",4047
"TRANSPORTATION AUTHORITY, METROPOLITAN",4044
EQUITY FUNDING CORP OF AMERICA,3591
LONG ISLAND UNIV.,3587
United States Naval Academy,3587
ADEN PROTECTORATE,3587
"ATOMIC ENERGY AGENCY, INTERNATIONAL",3586
"TRANSIT AUTHORITY, NYC",3585
STUDENT NONVIOLENT COORDINATING COMMITTEE,3584
HARVARD UNIV.,3584
"GARMENT WORKERS UNION, INTERNATIONAL LADIES",3583
"WISCONSIN, UNIVERSITY OF",3581
New York Public Library,3580
FORD MOTOR CO.,3580
INTRA BANK,3579
SUP CT,3575
PORT AUTHORITY TRANS-HUDSON CORP,3575
"TEXAS, UNIVERSITY OF",3574
Associated Press,3574
HUDSON & MANHATTAN RR CO.,3574
Bellevue Hospital,3572
"URBAN LEAGUE, NATIONAL",3568
"BRIDGE AND TUNNEL AUTHORITY, TRIBOROUGH",3567
REPUBLICAN COORDINATING COMMITTEE,3565
"VIETCONG, N VIETNAM AND ALLIES",3564
NATL COM,3560
"SCIENCE FOUNDATION, NATIONAL",3557
"EMPLOYMENT OPPORTUNITY COMMISSION, EQUAL",3550
ST JOHN'S UNIV.,3077
METROPOLITAN OPERA ASSN.,3077
Fordham University,3076
COMMUNICATIONS SATELLITE CORP.,3076
Princeton University,3075
COLUMBIA BROADCASTING SYSTEM INC,3075
UNITED NATIONS INTERNATIONAL SCHOOL,3074
Vassar College,3074
Barnard College,3074
DEM PARTY - REACTION TO ELIMINATION OF KENNEDY AS VICE-PRES CANDIDATE - HUMPHREY CAMPAIGNS FOR VICE-PRES NOMINATION,3073
MAJOR LEAGUES,3073
EASTERN FRONT,3073
National Gallery of Art,3072
UNITED STATES STEEL CORP.,3072
Black Muslims,3072
Communist Party USA,3071
ARAB LEAGUE,3070
YOUTH SERVICE AGENCY,3070
MADISON SQUARE GARDEN CENTER,3070
CHRYSLER CORP.,3070
"BRUCE, E L, CO..",3070
GIMBEL BROTHERS INC.,3069
NORFOLK & WESTERN RY CO.,3069
GENERAL AGREEMENT ON TARIFFS AND TRADE,3068
AMERICANS FOR DEMOCRATIC ACTION,3067
"CHURCHES, NATIONAL COUNCIL OF",3067
"NEWSPAPER PUBLISHERS ASSN, AMERICAN",3066
HOUSING AND DEVELOPMENT ADMINISTRATION,3066
NATIONAL COUNCIL OF CHURCHES OF CHRIST IN THE USA,3066
International Business Machines Corp,3066
"BIRCH, JOHN, SOCIETY",3064
HOUSING AND REDEVELOPMENT BD,3063
Asian Development Bank,3061
STEEL AND IRON,3061
PASSENGER SERVICES,3060
ALLIED CRUDE VEGETABLE OIL REFINING CORP,3060
"AIR FORCE, DEPARTMENT OF THE",3058
COMMUNITY RELATIONS SERVICE,3058
"INVESTIGATION, FEDERAL BUREAU OF.",3057
JOHNSON ADM - JOHNSON ELECTED BY LANDSLIDE,3055
KENNEDY ADMINISTRATION,3052
CONTROLLER'S OFFICE,3049
STUDEBAKER CORP.,3039
UNITED STATES TREASURY,3039
"CLAIMS, COURT OF",3031
"REPUB PARTY - NH PRIMARY CAMPAIGN - H E STASSEN, SEN SMITH ANNOUNCE CANDIDACIES",2565
Southern University,2565
"LABOR ORGANIZATION, INTERNATIONAL",2564
NORTHEAST AIRLINES,2563
MET OPERA ASSN,2563
CORNELL UNIV.,2562
MALAYSIAN FEDERATION,2562
Long Island University,2562
"TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN AND HELPERS OF AMERICA, INTERNATIONAL BROTHERHOOD OF",2561
WEBB & KNAPP INC.,2561
NEW YORK TELEPHONE CO.,2561
"COLORED PEOPLE, NATIONAL ASSN",2560
"CHEMICAL SOCIETY, AMERICAN",2560
"REPUB PARTY - ILLINOIS, NJ, MASS, PENNA PRIMARIES - LODGE POPULAR SUPPORT GROWS - GOLDWATER DELEGATE STRENGTH RISES",2560
STONY BROOK COLLEGE,2560
"NOTRE DAME, UNIV OF",2560
"RED CROSS, INTERNATIONAL COMMITTEE OF THE",2559
FIFTH AVENUE COACH LINES INC,2559
VIVIAN BEAUMONT THEATER,2557
"ADVERTISING, BUREAU OF",2556
"NARCOTICS, BUREAU OF",2555
"LAW INSTITUTE, AMERICAN",2555
United Press International,2554
"PRESS CLUB, WOMEN'S NATIONAL",2553
DEM PARTY - WALLACE WITHDRAWS - JOHNSON ELIMINATES ATTY GEN KENNEDY AND OTHERS FOR VICE PRES,2553
"ALGIERS, UNIV OF",2553
REPUB PARTY - CAMPAIGN WINDUP,2552
"CIVIL RIGHTS LEGIS - CIVIL RIGHTS, RACIAL RIOTING AND 'WHITE BACKLASH' AS ELECTION ISSUES",2551
Inter-American Development Bank,2550
"AFRICAN UNITY, ORGANIZATION OF",2550
"HEALTH, NATIONAL INSTITUTES OF",2550
"SECURITY AGENCY, NATIONAL",2549
"ARMY, DEPARTMENT OF THE",2548
EEC,2548
INTERNATIONAL TRADE AND WORLD MARKET,2547
"AERONAUTICS BOARD, CIVIL",2545
"CUSTOMS, BUREAU OF",2545
"Smith, Alfred E, Memorial Foundation",2544
Tennessee Valley Authority and Project,2544
REPUB,2542
"URBAN AFFAIRS, COUNCIL FOR",2542
INTERNAL SECURITY,2539
"SCIENCE AND TECHNOLOGY, OFFICE OF",2537
CIVILIAN-CONTROLLED REV BD,2537
LAW AND LEGISLATION,2537
GOVERNMENT ORGANIZATION,2532
"HEALTH SERVICE, PUBLIC",2528
POLICY COUNCIL,2523
"GEOPHYSICAL UNION, AMERICAN",2052
Metropolitan Opera,2052
ST JOHN'S UNIV,2051
Library of Congress,2051
"MACY, R H, & CO.",2050
Trans World Airlines,2050
Rockefeller Foundation,2049
Institute for Advanced Study,2049
UNITED,2049
FIRST NATIONAL CITY BANK,2049
"RAILROAD PASSENGER CORP, NATIONAL",2048
COLUMBIA UNIV.,2048
"EDUCATIONAL, SCIENTIFIC AND CULTURAL ORGANIZATION, UNITED NATIONS",2048
JOHNS HOPKINS UNIV.,2048
Boy Scouts,2048
FLYING TIGER,2048
"BUFFALO, STATE UNIVERSITY OF NY AT",2047
DEM PARTY - WALLACE TO PRESS EFFORTS TO THROW ELECTION INTO HR,2047
EASTERN,2047
Radio Free Europe,2047
AIR FRANCE,2046
Secret Service,2046
New School for Social Research,2045
VETERANS OF FOREIGN WARS OF THE US,2045
DEM PARTY - IND PRIMARY AND MD CAMPAIGN,2045
Carnegie Corp of NY,2045
"REPUBLICAN NATIONAL FEDERATION, YOUNG",2045
"BROADCASTING, CORP FOR PUBLIC",2044
CIVIL CT,2044
"NEW YORK, NEW HAVEN & HARTFORD RR CO.",2044
Allegheny College,2044
"TEACHERS, UNITED FEDERATION OF",2044
URBAN COALITION,2043
Radio Liberty,2043
URBAN DEVELOPMENT CORP,2043
JOHNSON ADM - 1ST 100 DAYS,2043
AMERICAN UNIVERSITY,2042
"COMMUNICATIONS COMMISSION, FEDERAL",2042
CRIMINAL CT,2042
"DEMOCRATIC SOCIETY, STUDENTS FOR A",2042
"NEW YORK, CHAMBER OF COMMERCE OF THE STATE OF",2041
"ENVIRONMENTAL QUALITY, COUNCIL ON",2040
"CITIES, NATIONAL LEAGUE OF",2040
INTERNATIONAL DEVELOPMENT ASSN,2040
"RUTGERS, THE STATE UNIV.",2039
"BUILDINGS, DEPARTMENT OF",2039
CIVIL RIGHTS MOVEMENT - CIVIL RIGHTS ACT OF '64,2039
"INDUSTRIAL CONFERENCE BOARD, NATIONAL",2037
"ECONOMIC DEVELOPMENT, COMMITTEE FOR",2036
DEM PARTY - WALLACE NARROWLY DEFEATED IN MD PRIMARY,2035
Environmental Protection Agency,2034
CAPITAL CITY COUNTRY CLUB,2034
"BUSINESSMEN, NATIONAL ALLIANCE OF",2034
HUMAN RIGHTS COMM,2033
"TRADE COUNCIL, NATIONAL FOREIGN",2032
APPALACHIAN REGIONAL COMMISSION,2031
RULES COMMITTEE,2029
Coast Guard,2029
ENVIRONMENTAL PROTECTION ADM,2028
INTERSTATE COMMERCE COMMISSION,2025
DOMESTIC COUNCIL,2023
"AVIATION AGENCY, FEDERAL",2017
HARTFORD PAVILION,1539
Baseball Writers Assn of America,1539
United States Coast Guard Academy,1539
INVESTORS OVERSEAS SERVICES LTD.,1539
"ASTRONAUTICAL CONGRESS, INTERNATIONAL",1539
"BRUCE, E L, CO",1539
Ford's Theater,1539
"PARENTHOOD FEDERATION, INTERNATIONAL PLANNED",1539
"NOTRE DAME, UNIVERSITY OF",1538
DAVIS CUP,1538
NROTC,1538
HARTFORD FIRE INSURANCE CO,1538
Middle East Airlines,1538
WESTERN FRONT,1538
"DELAWARE RIVER BASIN, INTERSTATE COMMISSION ON THE",1538
"ELECTRICAL, RADIO AND MACHINE WORKERS, INTERNATIONAL UNION OF",1538
"TRADE UNIONS, INTERNATIONAL CONFEDERATION OF FREE",1538
AVON PRODUCTS INC.,1538
ABRAHAM & STRAUS INC.,1537
"MEDICAL COLLEGES, ASSN OF AMERICAN",1537
DEM PARTY - SPECULATION ON VICE PRES CANDIDATE,1537
MCA INC.,1537
National Broadcasting Co,1537
ROCKEFELLER INSTITUTE,1537
EISENHOWER CENTER,1537
Brandeis University,1537
GREAT ATLANTIC & PACIFIC TEA CO OF AMERICA,1537
Smithsonian Institution,1537
MANUFACTURERS HANOVER TRUST CO,1537
"PHYSICAL SOCIETY, AMERICAN",1537
CAMBRIDGE UNIV.,1536
TRANS WORLD AIRLINES INC,1536
SECURITIES END EXCHANGE COMMISSION,1536
COSMOS CLUB,1536
"TEXAS, UNIV OF",1536
EASTMAN KODAK CO.,1536
INTER-AMERICAN ECONOMIC AND SOCIAL COUNCIL,1536
"REPUB PARTY - CALIF, OREGON, OTHER PRIMARY CAMPAIGNS - SUPPORT FOR LODGE GROWS - SCRANTON DISAVOWS CANDIDACY BUT LEAVES DOOR OPEN - GOLDWATER WINS ILLINOIS PRIMARY",1536
"DEM PARTY - WIS, MD, IND, ILLINOIS PRIMARY CAMPAIGNS - WALLACE SCORES UNEXPECTEDLY LARGE VOTE IN WIS PRIMARY",1536
Jewish Defense League,1535
"ELKS, BENEVOLENT AND PROTECTIVE ORDER OF",1535
SENATE SUBCOMMITTEE PROBE,1535
ALEXANDER'S DEPARTMENT STORES INC.,1535
Union Theological Seminary,1535
PROTESTANT COUNCIL OF THE CITY OF NY,1535
"MANAGEMENT, INDUSTRIAL AND INSTITUTIONAL",1535
AMHERST COLLEGE,1535
"PSYCHOLOGICAL ASSN, AMERICAN",1534
POLYTECHNIC INSTITUTE OF BROOKLYN,1534
"CHRISTIAN LEADERSHIP CONFERENCE, SOUTHERN",1534
Ohio State University,1534
CIVIL RIGHTS MOVEMENT - NEGRO DEMONSTRATIONS AND VIOLENCE,1534
FEDERAL DISTRICT COURTS,1534
RENT AND REHABILITATION ADM,1534
"PENNSYLVANIA, UNIV OF",1534
Manhattan Community College,1534
Taxi and Limousine Commission,1534
GENERAL ELECTRIC CO INC.,1534
"PRESS CLUB OF AMERICA, OVERSEAS",1534
Rockefeller Center,1534
"COUNTIES, NATIONAL ASSN OF",1534
"STEELWORKERS OF AMERICA, UNITED",1534
UNION SECURITY,1533
"REPUBLICAN CITIZENS COMMITTEE, NATIONAL",1533
Duke University,1533
"SCHOOLS, CITYWIDE COMMITTEE FOR INTAGRATED",1533
PUBLIC DEVELOPMENT CORP.,1533
"SCIENCE, AMERICAN ASSN FOR THE ADVANCEMENT OF",1533
REGIONAL PLAN ASSN.,1533
"STUDENT ASSN, NATIONAL",1533
"HEBREW CONGREGATIONS, UNION OF AMERICAN",1533
CIVIL RIGHTS MOVEMENT - CIVIL RIGHTS ACT OF '64 - WHITE HOUSE CIVIL RIGHTS CONF BEGINS - URGES MULTIBILLION-DOLLAR PROGRAM TO ACHIEVE NEGRO EQUALITY,1532
EL PASO NATURAL GAS CO.,1532
"MORTGAGE ASSN, FEDERAL NATIONAL",1532
"PENNEY, J C, CO.",1532
Time Inc.,1532
"LABOR RELATIONS BOARD, NATIONAL",1532
"CIVIL RIGHTS LEGIS - CIVIL RIGHTS, RACIAL RIOTING AND 'WHILE BACKLASH' AS ELECTION ISSUES",1532
"SCIENCE, WEIZMANN INSTITUTE OF",1531
"DEM PARTY - IND, MD PRIMARY CAMPAIGNS",1531
"JEWISH PHILANTHROPIES OF NY, FEDERATION OF",1531
"FARM BUREAU FEDERATION, AMERICAN",1531
"EMPLOYMENT OPPORTUNITY, PRESIDENT'S COMMITTEE ON EQUAL",1530
PENNSYLVANIA RR CO.,1530
"TRANSPORTATION COMMITTEE, TRI-STATE",1530
IMMIGRATION AND NATURALIZATION SERVICE,1530
"TRUMAN, HARRY S, LIBRARY",1530
BETHLEHEM STEEL CORP.,1530
FOREIGN DIPLOMATIC CORPS,1530
SIGMA DELTA CHI,1529
Veterans Administration,1529
"EDUCATIONAL ASSN, NATIONAL CATHOLIC",1529
STABILIZATION RESERVE FUND,1529
CIVIL RIGHTS MOVEMENT - NEW LEGISLATION PROPOSED,1529
"VIOLENCE, PRESIDENTIAL COMMISSION ON THE CAUSES AND PREVENTION OF",1529
LONG ISLAND RR CO.,1529
"HOUSING AND URBAN AFFAIRS, DEPARTMENT OF",1529
PEPSICO INC.,1528
"EDUCATION ASSN, NATIONAL",1528
"POPULATION GROWTH AND THE AMERICAN FUTURE, COMMISSION ON",1528
"WEBER, ARNOLD R.",1528
ANTI-DEFAMATION LEAGUE,1527
UNITED NATIONS ASSN OF THE USA,1527
"CLOTHING WORKERS OF AMERICA, AMALGAMATED",1527
"FOREIGN DIPLOMATIC COMMUNITY, RELATIONS WITH",1527
JUILLIARD SCHOOL OF MUSIC,1527
FOREIGN DIPLOMATIC CORPS AND CONSULAR OFFICES,1526
Zionist Organization of America,1526
Radcliffe College,1526
ELECTRIC LIGHT AND POWER,1526
SEATO,1526
COMMUNITY ANTENNA TELEVISION,1525
BUDGET BUR,1525
Citizens Budget Commission,1525
KENNEDY ADM - 'DYNASTY' ISSUE,1525
"MONEY AND CREDIT, COMMISSION ON",1524
"EMERGENCY PLANNING, OFFICE OF",1520
TRANSIT POLICE,1519
GEN COM,1518
Job Corps,1514
ARMS CONTROL AND DISARMAMENT AGENCY,1514
SUBVERSIVE ACTIVITIES CONTROL BOARD,1511
PAROCHIAL SCHOOLS,1504
"ELECTIONS, BOARD OF",1504
YOUTH HOUSE,1026
ST KITTS-NEVIS-ANGUILLA,1026
DOUGLAS AIRCRAFT CO INC.,1026
"FINANCIAL ANALYSTS SOCIETIES, NATIONAL FEDERATION OF",1026
CONTINENTAL OIL CO.,1026
ALCORN AGRICULTURAL AND MECHANICAL COLLEGE,1026
Pratt Institute,1026
WAVES,1026
St John's University,1026
STANFORD UNIV.,1026
"FOREIGN AFFAIRS, NATIONAL ACADEMY OF",1026
New York Philharmonic,1026
DEM PARTY - NH WRITE-IN DRIVE FOR ATTY GEN KENNEDY FOR VICE PRES - REPTS OF JOHNSON-KENNEDY RIFT,1026
"PASTORAL RENEWAL, NATIONAL ASSN FOR",1026
"BRUCE, E L, CO.",1026
MEDITERRANEAN FRONT,1026
MERRILL LYNCH PIERCE FENNER & SMITH INC.,1026
Voice of America,1026
"UNITED STATES ARMY, ASSN OF THE",1026
Motion Picture Assn of America,1026
"RED CROSS SOCIETIES, LEAGUE OF",1026
ROMAN CATHOLIC RELIGIOUS ORDERS,1026
"NEW YORK, COMMERCE AND INDUSTRY ASSN OF",1026
STERN BROS,1026
PRINCETON UNIV,1026
Jewish Theological Seminary of America,1026
OLD WESTBURY COLLEGE,1026
"HOLY SEPULCHER, CHURCH OF THE",1026
"JEWISH COMMUNITY CENTER, YONKERS",1026
TWENTIETH CENTURY-FOX FILM CORP.,1026
Church of England,1026
WEBB & KNAPP INC,1026
National Basketball Assn,1026
"RUTGERS, THE STATE UNIVERSITY",1026
WESTMINSTER COLLEGE,1026
"FOOD AND AGRICULTURE ORGANIZATION, UNITED NATIONS",1026
SABENA,1025
Bolshoi Opera,1025
INTERNATIONAL DEVELOPMENT ASSN.,1025
AMERICAN HISTORICAL ASSN,1025
DREYFUS CORP.,1025
"URBAN ACTION CENTER, STATES",1025
AMERICAN MOTORS CORP.,1025
Swarthmore College,1025
CALEDONIAN AIRLINES,1025
York College,1025
Shakers,1025
Bennington College,1025
MERRITT-CHAPMAN & SCOTT CORP.,1025
PANAIR DO BRASIL,1025
CONTINENTAL ILLINOIS NATIONAL BANK & TRUST CO,1025
RINGLING BROS AND BARNUM & BAILEY COMBINED SHOWS INC,1025
Dartmouth College,1025
REAL ESTATE FUND OF AMERICA,1025
"NUCLEAR POLICY, NATIONAL COMMITTEE FOR A SANE",1025
CUSTIS-LEE HOUSE,1025
REVLON INC.,1025
LING-TEMCO-VOUGHT INC.,1025
POLISH LAB THEATER,1025
CANTEEN CORP,1025
"Beatles, The",1025
POVERTY LAWYERS FOR EFFECTIVE ADVOCACY,1025
HOWARD UNIV.,1025
LONG ISLAND PRESS,1025
CAMPBELL SOUP CO.,1025
Continental,1025
NATIONAL EDUCATIONAL TELEVISION NETWORK,1025
"PAINTERS, DECORATORS AND PAPERHANGERS OF AMERICA, BROTHERHOOD OF",1024
"BROADCASTERS, NATIONAL ASSN OF",1024
